timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1605702907414,200,-2055,-4.515380859375E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907487,200,-951,-2.089599609375E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907499,200,-984,-2.162109375E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907555,200,-583,-1.281005859375E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907566,200,-254,-5.5810546875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907623,200,-181,-3.9770507812500004E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907633,200,-161,-3.53759765625E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907691,200,-347,-7.62451171875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907701,200,45,9.8876953125E-6,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907758,200,-21,-4.614257812500001E-6,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907768,200,-377,-8.28369140625E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907825,200,-375,-8.23974609375E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907835,200,-363,-7.97607421875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907893,200,-321,-7.053222656250001E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907903,200,-70,-1.5380859375E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907960,200,208,4.5703125E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702907970,200,370,8.1298828125E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908053,200,533,1.171142578125E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908075,200,375,8.23974609375E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908085,200,562,1.23486328125E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908095,200,1048,2.302734375E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908105,200,-110,-2.4169921875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908115,200,265,5.82275390625E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908125,200,-67,-1.4721679687500002E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908135,200,-365,-8.02001953125E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908154,200,307,6.74560546875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908186,200,587,1.2897949218750003E-4,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908202,200,236,5.185546875E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908222,200,423,9.29443359375E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908236,200,161,3.53759765625E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908260,200,450,9.8876953125E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908271,200,172,3.7792968750000005E-5,0,0,0,16748317,142644,11952,11316,5529,4155,1796,660,Tag0,unknown
1605702908281,200,205,4.50439453125E-5,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
1605702908292,200,171,3.75732421875E-5,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
1605702908323,200,-5,-1.0986328125E-6,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
1605702908336,200,160,3.515625E-5,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
1605702908354,200,368,8.0859375E-5,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
1605702908364,200,273,5.998535156250001E-5,0,0,0,1005404,94534,67028,16753773,16758893,32229,20701,16754019,Tag0,unknown
