timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1610371290658,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290670,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290716,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290773,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290787,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290833,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290892,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290904,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290944,200,-2048,-4.5E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371290954,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371291006,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371291021,200,1791,3.935302734375E-4,0,0,0,547450,57341,18154,27759,17351,168736,305017,32506,Tag0,unknown
1610371291066,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291106,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291121,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291147,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291181,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291191,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291218,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291252,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291271,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291293,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291304,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291367,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291504,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291522,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291577,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291588,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291712,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291722,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291782,200,1670,3.66943359375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291852,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291893,200,-2048,-4.5E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291905,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291922,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
1610371291944,200,1791,3.935302734375E-4,0,0,0,74464,68603,6409,29312,16744749,242490,16768307,22683,Tag0,unknown
